N,P,K,temperature,ph,label
29,75,75,19.62416326,7.065,chickpea
44,59,78,20.67526473,7.599,chickpea
41,69,82,20.02381489,6.716,chickpea
52,56,85,20.118744600000007,6.817,chickpea
34,76,80,20.65691793,7.985,chickpea
42,74,83,19.2582557,7.545,chickpea
34,71,79,17.927806,7.729,chickpea
27,73,79,19.16288268,7.355,chickpea
30,70,79,20.26942271,7.313,chickpea
57,57,75,17.09104223,7.785,chickpea
27,79,82,17.06579293,6.307,chickpea
32,71,85,20.62767492,6.404,chickpea
31,76,82,20.8248451,7.599,chickpea
33,75,84,19.46210401,7.217,chickpea
47,80,77,17.18248372,7.561,chickpea
54,62,80,17.48911699,7.49,chickpea
47,79,78,17.48395377,6.61,chickpea
35,57,83,19.48316794,7.477,chickpea
53,73,77,19.71359733,7.325,chickpea
45,61,78,19.48649305,6.489,chickpea
37,78,79,19.95264829,7.786,chickpea
30,75,81,19.41789736,6.408,chickpea
37,55,82,19.45591848,8.424,chickpea
53,65,76,20.19137759,8.72,chickpea
22,60,85,18.8392908,7.812,chickpea
60,61,78,20.71219282,6.317,chickpea
42,67,77,18.99424448,7.114,chickpea
39,76,76,19.96837462,8.136,chickpea
35,63,76,17.81564548,7.714,chickpea
30,65,82,20.71424384,7.104,chickpea
57,56,78,17.34150229,8.861,chickpea
48,65,78,17.43732714,7.861,chickpea
36,56,83,18.89780215,7.453,chickpea
40,58,75,18.59190771,7.168,chickpea
49,69,82,18.31561493,7.263,chickpea
13,60,25,17.13692774,5.686,kidneybeans
25,70,16,19.63474332,5.759,kidneybeans
31,55,22,22.91350245,5.873,kidneybeans
40,64,16,16.43340342,5.927,kidneybeans
2,61,20,22.13974653,5.956,kidneybeans
26,65,22,17.84806561,5.95,kidneybeans
17,57,21,19.88394011,5.789,kidneybeans
26,80,18,19.32509638,5.581,kidneybeans
17,59,17,18.416700100000003,5.69,kidneybeans
27,59,22,21.81167649,5.794,kidneybeans
28,58,24,19.72702528,5.748,kidneybeans
25,57,19,17.15432954,5.567,kidneybeans
28,80,17,19.62207826,5.809,kidneybeans
25,60,22,21.63149148,5.887,kidneybeans
12,78,23,16.06522754,5.998,kidneybeans
6,77,25,20.61162204,5.793,kidneybeans
22,79,17,21.42451099,5.912,kidneybeans
27,80,15,19.07096165,5.788,kidneybeans
10,55,23,21.18853178,5.728,kidneybeans
23,65,20,23.0429097,5.834,kidneybeans
19,78,16,20.65375833,5.968,kidneybeans
19,65,25,18.09551014,5.625,kidneybeans
22,70,19,18.23775702,5.516,kidneybeans
37,64,22,17.48189735,5.955,kidneybeans
11,71,17,19.9191786,5.746,kidneybeans
18,79,20,20.27514686,5.877,kidneybeans
21,63,17,15.77370214,5.98,kidneybeans
24,80,22,16.71170642,5.636,kidneybeans
34,60,22,17.66148158,5.635,kidneybeans
16,75,21,18.50692825,5.679,kidneybeans
17,77,23,24.51324787,5.67,kidneybeans
37,72,18,18.87614998,5.724,kidneybeans
40,73,20,21.59343016,5.811,kidneybeans
9,77,17,20.12373284,5.783,kidneybeans
1,62,23,15.43546065,5.608,kidneybeans
33,59,22,22.64236876,5.947,kidneybeans
23,59,19,21.98560799,5.852,kidneybeans
6,62,22,20.53052663,5.824,kidneybeans
25,63,20,15.78601387,5.503,kidneybeans
7,79,23,19.6365349,5.822,kidneybeans
8,72,17,20.57341244,5.711,kidneybeans
27,64,15,20.16080524,5.515,kidneybeans
28,66,23,21.53989176,5.996,kidneybeans
32,57,18,15.53834801,5.695,kidneybeans
27,56,22,19.91853092,5.833,kidneybeans
17,77,24,20.76952209,5.568,kidneybeans
0,65,15,23.46168338,5.645,kidneybeans
13,72,21,24.32116642,5.821,kidneybeans
34,60,23,20.12574053,5.659,kidneybeans
9,80,19,21.80619564,5.945,kidneybeans
11,72,20,19.52226241,5.951,kidneybeans
3,67,24,17.00067625,5.521,kidneybeans
35,69,23,16.78791503,5.578,kidneybeans
3,77,25,24.84906168,5.608,kidneybeans
23,62,19,16.51783455,5.609,kidneybeans
22,71,17,18.15300153,5.509,kidneybeans
31,79,25,23.18864385,5.902,kidneybeans
34,59,18,23.38002569,5.744,kidneybeans
12,63,17,18.358923,5.717,kidneybeans
27,56,20,19.25975367,5.543,kidneybeans
7,63,24,22.95458237,5.859,kidneybeans
24,67,22,20.120043,5.619,kidneybeans
11,71,24,21.14011423,5.607,kidneybeans
37,74,15,24.92360104,5.582,kidneybeans
25,76,24,15.33042636,5.565,kidneybeans
34,66,17,18.81097271,5.89,kidneybeans
20,69,15,23.44260668,5.934,kidneybeans
37,65,16,22.8352024,5.684,kidneybeans
18,74,15,24.9035819,5.708,kidneybeans
4,67,25,23.78709569,5.948,kidneybeans
37,56,25,22.05592283,5.775,kidneybeans
5,59,15,18.87492997,5.972,kidneybeans
11,61,21,18.62328774,5.532,kidneybeans
22,80,20,23.00884744,5.67,kidneybeans
12,61,19,19.33162606,5.656,kidneybeans
5,74,21,16.24469193,5.592,kidneybeans
27,69,22,17.91652287,5.932,kidneybeans
31,75,18,15.46789263,5.824,kidneybeans
36,68,20,17.06104474,5.864,kidneybeans
5,65,16,21.32776028,5.867,kidneybeans
32,79,15,23.90910104,5.706,kidneybeans
11,78,22,23.89756791,5.941,kidneybeans
0,55,22,22.98666928,5.917,kidneybeans
14,59,15,21.35135729,5.779,kidneybeans
29,68,23,24.1638445,5.827,kidneybeans
32,68,19,24.62835037,5.514,kidneybeans
17,64,17,21.02213209,5.663,kidneybeans
13,69,19,17.30844532,5.864,kidneybeans
14,67,22,23.82576704,5.625,kidneybeans
9,69,20,19.30607278,5.592,kidneybeans
20,73,22,16.03768615,5.976,kidneybeans
40,78,20,19.18572809,5.669,kidneybeans
27,72,23,19.92889503,5.962,kidneybeans
14,67,15,19.56376468,5.69,kidneybeans
7,56,18,18.31357543,5.698,kidneybeans
27,65,18,20.10993761,5.595,kidneybeans
30,63,16,23.60506572,5.526,kidneybeans
37,70,25,19.73136909,5.819,kidneybeans
27,63,19,20.93409877,5.562,kidneybeans
22,60,24,18.78226261,5.631,kidneybeans
3,72,24,36.51268371,6.032,pigeonpeas
40,59,23,36.89163721,5.269,pigeonpeas
33,73,23,29.23540524,5.986,pigeonpeas
27,57,24,27.33534897,6.092,pigeonpeas
10,79,18,21.0643684,5.625,pigeonpeas
30,75,25,30.33276599,6.446,pigeonpeas
40,70,20,31.80130272,5.623,pigeonpeas
38,55,19,33.18184225,5.865,pigeonpeas
35,58,20,29.38538562,5.762,pigeonpeas
38,61,21,30.27374995,4.697,pigeonpeas
33,58,24,35.45790488,5.27,pigeonpeas
16,56,17,33.80020039,7.445,pigeonpeas
31,72,17,28.69180475,5.833,pigeonpeas
16,80,20,31.24021696,7.339,pigeonpeas
27,72,17,28.98039357,6.348,pigeonpeas
40,62,19,27.32198928,4.698,pigeonpeas
18,58,16,21.47607807,4.963,pigeonpeas
3,68,16,18.31910448,4.965,pigeonpeas
26,67,24,36.97794384,5.643,pigeonpeas
16,70,20,24.80467592,5.609,pigeonpeas
24,63,19,19.3479443,4.682,pigeonpeas
9,76,25,28.88302142,5.71,pigeonpeas
16,55,19,19.54314136,6.414,pigeonpeas
28,75,21,24.7741949,6.008,pigeonpeas
16,71,24,18.33124824,4.946,pigeonpeas
24,70,21,19.14729038,5.517,pigeonpeas
38,72,21,28.23416057,5.902,pigeonpeas
9,66,21,30.11812084,5.72,pigeonpeas
34,56,17,33.4126864,4.548,pigeonpeas
1,76,19,24.18553163,6.67,pigeonpeas
6,69,19,26.88630675,4.751,pigeonpeas
26,73,21,31.33170829,4.946,pigeonpeas
27,61,18,33.30711818,5.266,pigeonpeas
27,71,23,23.45379018,7.11,pigeonpeas
36,61,21,34.53823889,5.617,pigeonpeas
17,73,18,19.50112224,5.632,pigeonpeas
26,72,22,28.76794904,4.675,pigeonpeas
17,64,16,30.97758716,7.162,pigeonpeas
14,74,19,18.39759147,6.625,pigeonpeas
39,60,15,35.09357419,5.004,pigeonpeas
6,66,15,34.93174223,6.346,pigeonpeas
8,59,18,29.50523036,6.217,pigeonpeas
2,67,18,34.51934775,5.922,pigeonpeas
1,76,17,28.43430726,6.013,pigeonpeas
16,73,19,18.41645629,4.684,pigeonpeas
23,75,25,31.07508973,7.077,pigeonpeas
32,70,20,20.89342749,6.209,pigeonpeas
28,59,22,30.90607799,7.052,pigeonpeas
5,62,23,27.9348279,4.722,pigeonpeas
36,67,25,35.95176642,6.418,pigeonpeas
1,66,23,19.54317155,4.804,pigeonpeas
24,73,20,19.63736208,4.609,pigeonpeas
17,67,18,31.2192752,5.612,pigeonpeas
5,55,18,33.50876355,7.322,pigeonpeas
5,56,24,24.80710166,5.023,pigeonpeas
37,77,17,36.20970524,5.617,pigeonpeas
13,73,20,30.50420876,5.392,pigeonpeas
6,63,23,26.01630259,5.907,pigeonpeas
16,77,22,31.48469278,6.574,pigeonpeas
25,64,20,33.15122581,4.808,pigeonpeas
34,75,24,23.50222822,4.76,pigeonpeas
20,77,23,34.87248659,5.18,pigeonpeas
35,80,25,28.09269012,4.896,pigeonpeas
14,75,24,24.54757829,6.436,pigeonpeas
36,80,21,33.64769646,7.066,pigeonpeas
7,77,18,20.5591255,6.656,pigeonpeas
29,78,25,19.95991719,5.983,pigeonpeas
30,60,21,28.87667593,5.458,pigeonpeas
20,74,16,36.04353699,4.759,pigeonpeas
19,57,23,23.6734328,7.342,pigeonpeas
3,60,19,25.74679443,4.821,pigeonpeas
5,77,19,31.08564994,6.242,pigeonpeas
5,68,20,18.72987676,5.001,pigeonpeas
37,73,21,29.50304807,5.56,pigeonpeas
9,59,24,20.43517772,4.747,pigeonpeas
20,72,15,36.00415838,7.314,pigeonpeas
31,56,23,31.46846241,5.662,pigeonpeas
0,70,21,36.30049702,4.672,pigeonpeas
21,74,15,29.49096726,6.472,pigeonpeas
13,67,18,30.5753044,5.385,pigeonpeas
27,74,20,24.69487673,5.86,pigeonpeas
29,72,24,23.17409556,6.962,pigeonpeas
5,68,20,19.04380471,6.122,pigeonpeas
39,57,19,29.32379604,6.422,pigeonpeas
22,62,16,34.6455408,4.829,pigeonpeas
18,55,23,21.9989826,6.986,pigeonpeas
39,77,21,22.99774444,4.604,pigeonpeas
13,75,20,30.55992394,6.98,pigeonpeas
27,71,24,31.46417866,7.065,pigeonpeas
26,64,22,25.95058595,5.165,pigeonpeas
23,55,16,21.01142393,5.111,pigeonpeas
4,69,19,19.25100056,5.374,pigeonpeas
20,67,19,19.24462755,5.671,pigeonpeas
7,74,17,22.47253208,5.667,pigeonpeas
17,64,18,36.75087487,6.079,pigeonpeas
35,71,17,29.89286629,6.932,pigeonpeas
11,72,22,29.37735586,6.843,pigeonpeas
20,60,22,29.65052947,6.877,pigeonpeas
10,71,18,19.54284889,6.151,pigeonpeas
33,61,24,20.04611791,4.567,pigeonpeas
3,49,18,27.91095209,3.693,mothbeans
22,59,23,27.32220619,4.372,mothbeans
36,58,25,28.66024187,8.399,mothbeans
4,43,18,29.02955344,8.841,mothbeans
29,54,16,27.78031515,8.153,mothbeans
32,43,22,31.99928579,5.271,mothbeans
14,55,15,27.33580911,8.05,mothbeans
5,35,20,28.92952635,9.679,mothbeans
25,57,24,27.65472156,6.975,mothbeans
11,53,24,28.52396666,7.394,mothbeans
40,49,17,31.02215872,6.687,mothbeans
38,56,25,25.74095321,7.881,mothbeans
27,43,23,31.70447482,5.875,mothbeans
24,38,22,24.47876451,8.203,mothbeans
23,45,21,31.46511256,8.985,mothbeans
29,57,20,25.60973447,5.877,mothbeans
31,35,23,30.30260453,7.708,mothbeans
0,55,25,28.17489437,4.524,mothbeans
7,45,22,25.50634557,9.926,mothbeans
17,58,25,31.12896766,6.456,mothbeans
11,44,17,26.34043268,8.016,mothbeans
22,49,22,28.23494706,3.711,mothbeans
9,51,19,27.04453473,5.491,mothbeans
28,48,15,25.16125354,9.254,mothbeans
26,50,19,27.3179125,6.005,mothbeans
36,56,20,25.4123765,7.437,mothbeans
8,60,18,31.21629982,3.808,mothbeans
24,37,21,30.573999,5.818,mothbeans
22,43,24,25.42517036,4.524,mothbeans
36,43,24,27.09400578,3.51,mothbeans
22,44,24,24.30935081,6.03,mothbeans
17,43,22,30.06142622,5.498,mothbeans
8,45,15,28.09568993,4.611,mothbeans
7,56,23,26.33908791,5.545,mothbeans
36,57,16,28.61409059,8.293,mothbeans
11,45,19,28.70012137,3.828,mothbeans
6,36,22,24.21610338,8.87,mothbeans
17,57,20,28.50677929,3.794,mothbeans
4,47,20,25.97948991,4.193,mothbeans
9,49,16,30.88482722,7.662,mothbeans
25,51,24,25.5042419,9.393,mothbeans
36,44,21,25.12528913,4.516,mothbeans
21,38,20,27.10508014,5.794,mothbeans
37,57,20,31.1006247,7.354,mothbeans
32,48,18,26.45707778,5.994,mothbeans
29,44,20,30.04132304,8.62,mothbeans
25,51,18,27.77799528,9.459,mothbeans
10,44,24,30.99256944,8.034,mothbeans
23,35,18,26.4908332,5.414,mothbeans
9,60,23,31.96987867,6.276,mothbeans
3,58,21,25.36140526,9.161,mothbeans
22,42,22,25.54249137,7.888,mothbeans
12,39,21,28.99319096,8.184,mothbeans
39,36,22,29.34317422,9.072,mothbeans
32,41,16,28.63618921,7.702,mothbeans
30,41,15,24.83206631,5.885,mothbeans
19,36,22,25.44689075,6.165,mothbeans
4,46,15,31.01274943,3.505,mothbeans
21,39,20,27.06179658,7.388,mothbeans
35,57,25,27.0956288,8.34,mothbeans
22,55,24,28.56800579,8.661,mothbeans
35,51,17,28.79929247,3.559,mothbeans
17,56,17,27.94293692,5.957,mothbeans
28,57,17,30.47757686,9.416,mothbeans
22,36,16,30.58139475,8.184,mothbeans
11,41,19,26.85911286,5.132,mothbeans
38,38,18,26.31051759,6.294,mothbeans
23,37,24,28.77833449,7.992,mothbeans
25,35,20,28.90245417,8.923,mothbeans
40,45,20,29.37687468,6.878,mothbeans
23,58,19,24.17093241,5.244,mothbeans
2,56,23,26.65333029,7.55,mothbeans
3,56,17,28.19912143,8.709,mothbeans
26,51,25,28.76488954,7.793,mothbeans
39,42,20,29.3499706,8.056,mothbeans
27,59,20,28.00937423,4.398,mothbeans
24,45,19,26.85851927,5.952,mothbeans
7,40,17,31.2123945,8.532,mothbeans
15,45,23,24.20422636,7.224,mothbeans
26,52,23,29.98835437,4.932,mothbeans
20,45,16,29.93964907,4.626,mothbeans
34,54,24,31.2119298,5.026,mothbeans
19,51,25,26.80474415,3.525,mothbeans
29,41,21,31.49398069,8.87,mothbeans
20,50,22,30.99694676,9.407,mothbeans
11,40,23,29.61253065,5.804,mothbeans
15,54,15,29.97604322,8.355,mothbeans
35,55,22,30.88883074,8.635,mothbeans
9,59,25,30.39321309,7.699,mothbeans
40,45,18,30.43683729,5.261,mothbeans
35,38,19,25.32688786,9.113,mothbeans
14,58,17,30.53684308,4.606,mothbeans
40,55,18,30.38257873,7.116,mothbeans
18,36,23,24.01825377,7.214,mothbeans
35,52,15,28.69841277,9.935,mothbeans
4,59,22,29.33743412,8.914,mothbeans
22,51,16,27.96583691,8.64,mothbeans
33,47,17,24.86803974,8.622,mothbeans
2,51,17,25.87682261,5.839,mothbeans
16,51,21,31.01963639,3.532,mothbeans
19,55,20,27.43329405,7.185,mungbean
8,54,20,28.3340432,7.034,mungbean
36,55,20,27.01470397,6.636,mungbean
10,56,16,28.17432665,6.828,mungbean
22,56,17,29.87888063,6.891,mungbean
9,57,24,29.89232778,7.165,mungbean
34,59,23,28.56212158,6.936,mungbean
31,51,25,27.53592929,7.197,mungbean
0,49,18,29.68361658,6.99,mungbean
21,39,20,28.14448546,7.065,mungbean
28,35,22,29.53037621,7.157,mungbean
17,52,17,27.88352946,6.365,mungbean
24,42,23,28.22471276,6.428,mungbean
28,46,16,29.008124,6.664,mungbean
21,38,21,29.75538903,6.638,mungbean
34,60,25,29.78416743,6.794,mungbean
19,53,22,27.8640132,6.853,mungbean
31,58,15,27.11026483,7.122,mungbean
19,35,24,27.11030369,6.883,mungbean
24,53,17,28.95451232,6.421,mungbean
13,47,20,29.21780035,6.545,mungbean
31,53,16,28.7420098,6.452,mungbean
28,45,23,29.65021184,6.489,mungbean
31,37,21,27.23924995,6.713,mungbean
33,60,15,28.95172351,6.511,mungbean
34,45,21,28.18837136,6.287,mungbean
13,57,25,28.30041493,6.863,mungbean
33,57,17,27.89636126,6.784,mungbean
32,57,22,28.6899851,6.769,mungbean
23,59,25,27.826262300000003,6.321,mungbean
35,41,18,28.70562673,6.705,mungbean
6,48,24,28.6362812,6.791,mungbean
29,36,25,28.28511547,7.13,mungbean
4,36,22,27.60887393,7.013,mungbean
10,59,22,28.60901145,7.156,mungbean
14,48,21,29.24598976,6.991,mungbean
8,50,21,28.62911222,6.219,mungbean
20,40,15,29.57329479,7.199,mungbean
36,43,22,27.82684262,6.39,mungbean
14,57,15,29.8757015,6.623,mungbean
11,60,23,27.33684386,7.033,mungbean
10,59,15,29.83040388,6.324,mungbean
7,60,25,28.2753171,6.398,mungbean
2,47,15,29.86860065,6.401,mungbean
20,45,22,29.5888162,6.905,mungbean
2,39,15,28.07219563,6.479,mungbean
27,40,24,27.84026517,7.063,mungbean
35,48,15,27.10818093,6.982,mungbean
4,59,25,27.68515114,6.227,mungbean
1,48,24,29.34594634,6.233,mungbean
36,43,21,28.36319404,7.14,mungbean
11,46,24,27.65280218,6.459,mungbean
34,47,19,27.31372793,6.569,mungbean
21,44,18,27.06909959,7.129,mungbean
17,58,20,28.06642822,6.429,mungbean
